id,context,pronoun,disambiguation,question,answers
1,"Die Stadtratsmitglieder verweigerten den Demonstranten eine Genehmigung, ","weil sie ","Gewalt befürchteten./Gewalt befürworteten.","Wer [befürchtete/befürwortete] Gewalt?","Die Stadtratsmitglieder|Die Demonstranten"
2,"Die Trophäe passt nicht in den braunen Koffer, ","weil sie zu ","klein ist./groß ist.","Was ist zu [klein/groß]?","Der Koffer|Die Trophäe"
3,"Joan achtete darauf, Susan für all die Hilfe zu danken, ","die sie ","gegeben hatte./erhalten hatte.","Wer hatte Hilfe [gegeben/erhalten]?","Susan|Joan"
4,"Paul versuchte, George anzurufen, ","aber er war nicht ","erfolgreich./verfügbar.","Wer war nicht [erfolgreich/verfügbar]?","Paul|George"
5,"Der Anwalt stellte dem Zeugen eine Frage, aber er war zögerlich, ","sie zu ","beantworten./wiederholen.","Wer war zögerlich, die Frage zu [beantworten/wiederholen]?","Der Zeuge|Der Anwalt"
6,"Der Lieferwagen raste am Schulbus vorbei, ","weil er so ","schnell fuhr./langsam fuhr.","Was fuhr so [schnell/langsam]?","Der Lieferwagen|Der Bus"
7,"Frank fühlte sich ","","rehabilitiert, als sein langjähriger Rivale Bill offenbarte, dass er der Gewinner des Wettbewerbs war./zerknirscht, als sein langjähriger Rivale Bill offenbarte, dass er der Gewinner des Wettbewerbs war.","Wer war der Gewinner des Wettbewerbs?","Frank|Bill"
8,"Der Mann konnte seinen Sohn nicht hochheben, ","weil er so ","schwach war./schwer war.","Wer war [schwach/schwer]?","Der Mann|Der Sohn"
9,"Der große Ball krachte direkt durch den Tisch, ","weil er aus ","Stahl gemacht war./Styropor gemacht war.","Was war aus [Stahl/Styropor] gemacht?","Der Ball|Der Tisch"
10,"John konnte die Bühne nicht sehen, weil Billy vor ihm stand ","und er so ","klein ist./groß ist.","Wer ist so [klein/groß]?","John|Billy"
11,"Tom warf seine Schultasche zu Ray hinunter, nachdem er das ","","obere Ende der Treppe erreicht hatte./untere Ende der Treppe erreicht hatte.","Wer erreichte das [obere/untere] Ende der Treppe?","Tom|Ray"
12,"Obwohl sie ungefähr gleich schnell liefen, schlug Sue Sally, ","weil sie einen so ","guten Start hatte./schlechten Start hatte.","Wer hatte einen [guten/schlechten] Start?","Sue|Sally"
13,"Die Skulptur rollte vom Regal, ","weil sie nicht ","befestigt war./eben war.","Was war nicht [befestigt/eben]?","Die Skulptur|Das Regal"
14,"Sams Zeichnung hing direkt über Tinas Zeichnung und sah tatsächlich viel besser aus mit einer weiteren darunter ","","darunter./darüber.","Welche sah besser aus?","Sams Zeichnung|Tinas Zeichnung"
15,"Anna schnitt ","","viel besser ab als ihre gute Freundin Lucy im Test, weil sie so fleißig gelernt hatte./viel schlechter ab als ihre gute Freundin Lucy im Test, weil sie so fleißig gelernt hatte.","Wer hatte fleißig gelernt?","Anna|Lucy"
16,"Die Feuerwehrleute kamen ","","nach der Polizei an, weil sie von so weit her kamen./vor der Polizei an, weil sie von so weit her kamen.","Wer kam von weit her?","Die Feuerwehrleute|Die Polizei"
17,"Frank ärgerte sich über Tom, weil der Toaster, den er ihm ","","abgekauft hatte, nicht funktionierte./verkauft hatte, nicht funktionierte.","Wer hatte den Toaster [gekauft/verkauft]?","Frank|Tom"
18,"Jim ","","schrie Kevin an, weil er so aufgebracht war./tröstete Kevin, weil er so aufgebracht war.","Wer war aufgebracht?","Jim|Kevin"
19,"Der Kartoffelsack wurde ","","über den Mehlsack gestellt und musste daher zuerst bewegt werden./unter den Mehlsack gestellt und musste daher zuerst bewegt werden.","Was musste zuerst bewegt werden?","Der Kartoffelsack|Der Mehlsack"
20,"Pete ist eifersüchtig auf Martin, ","","weil er sehr erfolgreich ist./obwohl er sehr erfolgreich ist.","Wer ist sehr erfolgreich?","Martin|Pete"
